title,url,video_id,tier,top
"$NOT - Mean ft. Flo Milli",https://www.youtube.com/watch?v=NGYHET-PsMk,NGYHET-PsMk,Diamond,0
"$NOT - Whipski ft. Lil Skies",https://www.youtube.com/watch?v=4rRynnDPnfA,4rRynnDPnfA,Diamond,0
"2 Chainz - I'm Not Crazy Life Is ft Kodak Black",https://www.youtube.com/watch?v=JzL3Qy9Fhz0,JzL3Qy9Fhz0,Diamond,0
"2 Chainz - Money Maker ft. Lil Wayne",https://www.youtube.com/watch?v=vc23AgToYdo,vc23AgToYdo,Diamond,0
"2 Chainz - Rule The World ft Ariana Grande",https://www.youtube.com/watch?v=yYrViPN_Xu8,yYrViPN_Xu8,Diamond,0
"21 Savage - all of me",https://www.youtube.com/watch?v=MMBTOzQ7kkU,MMBTOzQ7kkU,Diamond,0
"21 Savage - Ball w/o You",https://www.youtube.com/watch?v=1tT7LNTp0NQ,1tT7LNTp0NQ,Diamond,0
"21 Savage - Big Smoke",https://www.youtube.com/watch?v=CO1tiLsevPc,CO1tiLsevPc,Diamond,0
"21 Savage - No Debate",https://www.youtube.com/watch?v=hgIA6GaUrgY,hgIA6GaUrgY,Diamond,0
"21 Savage - redrum",https://www.youtube.com/watch?v=PBQbcKUKzH4,PBQbcKUKzH4,Diamond,0
"21 Savage & Doja Cat - n.h.i.e.",https://www.youtube.com/watch?v=-Q-ZTdKC7Dg,-Q-ZTdKC7Dg,Diamond,6
"21 Savage & Metro Boomin - Mr. Right Now",https://www.youtube.com/watch?v=hK2AkUPo0-0,hK2AkUPo0-0,Diamond,0
"21 Savage, Travis Scott & Metro Boomin - nГ©e-nah",https://www.youtube.com/watch?v=h47jgQv_an4,h47jgQv_an4,Diamond,0
"24kGoldn - Mood ft. Iann Dior",https://www.youtube.com/watch?v=fopTxoCKP8g,fopTxoCKP8g,Diamond,0
"24kGoldn, Lil Tecca - Prada",https://www.youtube.com/watch?v=5mj4ntfLd9A,5mj4ntfLd9A,Diamond,0
"50 Cent - Part of the Game ft. NLE Choppa & Rileyy Lanez",https://www.youtube.com/watch?v=OPTCl7T_z6I,OPTCl7T_z6I,Diamond,0
"6ix9ine -  Shaka Laka ft. Kodak Black & Yailin la Mas Viral",https://www.youtube.com/watch?v=HlwJyMRVHiM,hlwJyMRVHiM,Diamond,0
"6ix9ine - AVA",https://www.youtube.com/watch?v=NQLJMA1f10w,NQLJMA1f10w,Diamond,0
"6ix9ine - Bori ft. Lenier",https://www.youtube.com/watch?v=GM0nlyd0hiY,GM0nlyd0hiY,Diamond,0
"6ix9ine - FAX",https://www.youtube.com/watch?v=SDbS2BxBpNk,SDbS2BxBpNk,Gold,0
"6ix9ine - GINE",https://www.youtube.com/watch?v=OjFS5Pu7uAY,OjFS5Pu7uAY,Diamond,0
"6ix9ine - GOOBA",https://www.youtube.com/watch?v=e3CBCMjK66o,e3CBCMjK66o,Diamond,0
"6ix9ine - PUNANI",https://www.youtube.com/watch?v=KGNtv7NERNc,KGNtv7NERNc,Diamond,0
"6ix9ine - Respuesta ft. Lenier (Instrumental) +  FLP",https://www.youtube.com/watch?v=WM5Ae5PNWCI,WM5Ae5PNWCI,Diamond,0
"6ix9ine - TUTU",https://www.youtube.com/watch?v=o7NYfaF4F0k,o7NYfaF4F0k,Diamond,0
"6ix9ine - WASSUP",https://www.youtube.com/watch?v=WSU4BQ30zx0,WSU4BQ30zx0,Diamond,0
"6ix9ine - YAYA",https://www.youtube.com/watch?v=AB8i1EoXxD4,AB8i1EoXxD4,Diamond,0
"6ix9ine - ZAZA",https://www.youtube.com/watch?v=j2tr3XfP2nU,j2tr3XfP2nU,Diamond,0
"6ix9ine & Nicki Minaj - TROLLZ",https://www.youtube.com/watch?v=sA0POUZ-IXQ,sA0POUZ-IXQ,Diamond,0
"6ix9ine & Nicki Minaj Type Beat - TROLLZ",https://www.youtube.com/watch?v=21eYVcSpC04,21eYVcSpC04,Diamond,0
"6ix9ine Type Beat - Sad YAYA",https://www.youtube.com/watch?v=PAPbhRJAdOw,PAPbhRJAdOw,Diamond,0
"6ix9ine Type Beat - TUTU",https://www.youtube.com/watch?v=O_v0uEUuzcM,O_v0uEUuzcM,Diamond,0
"6ix9ine Type Beat - ZAZA",https://www.youtube.com/watch?v=g01WJwKwg8s,g01WJwKwg8s,Diamond,0
"6LACK - Talkback",https://www.youtube.com/watch?v=0vhsAYBKhU4,0vhsAYBKhU4,Diamond,0
"A Boogie wit da Hoodie - Bleed",https://www.youtube.com/watch?v=cVP6_t9muEU,cVP6_t9muEU,Diamond,0
"A Boogie wit da Hoodie - Hit Different ft. B-Lovee",https://www.youtube.com/watch?v=rPrNf_qRLM8,rPrNf_qRLM8,Diamond,0
"A Boogie wit da Hoodie - Numbers ft. Roddy Ricch & Gunna",https://www.youtube.com/watch?v=GEa6K0uyDIg,GEa6K0uyDIg,Diamond,0
"A Boogie wit da Hoodie - Reply ft. Lil Uzi Vert",https://www.youtube.com/watch?v=ZHM-sjd63ko,ZHM-sjd63ko,Diamond,0
"A Boogie wit da Hoodie Type Beat - BLEED",https://www.youtube.com/watch?v=Pum9Eh9BLjU,Pum9Eh9BLjU,Diamond,0
"A Simple Piano Trap Beat in FL Studio",https://www.youtube.com/watch?v=FU0A3AU7Q30,FU0A3AU7Q30,Diamond,0
"A$AP Rocky - Babushka Boi",https://www.youtube.com/watch?v=5DSfNOXxjIY,5DSfNOXxjIY,Diamond,0
"A$AP Rocky - RIOT",https://www.youtube.com/watch?v=-liRvJrqj_0,-liRvJrqj_0,Diamond,0
"A$AP Rocky - Tailor Swif",https://www.youtube.com/watch?v=avHeplJxqvA,avHeplJxqvA,Diamond,0
"Adele - Easy On Me",https://www.youtube.com/watch?v=ZhcAHxlL6DU,ZhcAHxlL6DU,Diamond,0
"Anitta & Ludmilla ft. Snoop Dogg - Onda Diferente",https://www.youtube.com/watch?v=wppZtESDbPg,wppZtESDbPg,Diamond,0
"Anne-Marie & KSI & Digital Farm Animals - Don't Play",https://www.youtube.com/watch?v=KUhWBuja04U,KUhWBuja04U,Diamond,0
"Anuel AA - Somos O No Somos",https://www.youtube.com/watch?v=B5uovIconQU,B5uovIconQU,Diamond,0
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China",https://www.youtube.com/watch?v=zCPPTL3g68E,zCPPTL3g68E,Diamond,0
"Ari Lennox - BMO",https://www.youtube.com/watch?v=6aowDo3o_ys,6aowDo3o_ys,Diamond,0
"Ariana Grande - 34+35",https://www.youtube.com/watch?v=Edz7kWrdzMU,Edz7kWrdzMU,Diamond,15
"Ariana Grande - 7 rings",https://www.youtube.com/watch?v=QvpSADo4W7A,QvpSADo4W7A,Diamond,0
"Ariana Grande - Break up with your girlfriend",https://www.youtube.com/watch?v=jWZNt0oo1BA,jWZNt0oo1BA,Diamond,0
"Ariana Grande - Motive ft. Doja Cat",https://www.youtube.com/watch?v=JGbHnLFchhA,JGbHnLFchhA,Diamond,0
"Ariana Grande - Positions",https://www.youtube.com/watch?v=LBm69EhNmiU,LBm69EhNmiU,Diamond,0
"Ariana Grande - pov",https://www.youtube.com/watch?v=Jfh0Gmkdlro,Jfh0Gmkdlro,Diamond,0
"Ariana Grande - Test Drive",https://www.youtube.com/watch?v=R6oYfOkaob0,R6oYfOkaob0,Diamond,0
"Ariana Grande - Thank you next",https://www.youtube.com/watch?v=KQya3uA-SNQ,KQya3uA-SNQ,Diamond,0
"Ariana Grande & Justin Bieber - Stuck with U",https://www.youtube.com/watch?v=wf0HypEhvQI,wf0HypEhvQI,Diamond,0
